DATAFLOW,LAST UPDATE,freq,indic_il,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,1995,29,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,1996,28,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,1997,25,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,1998,26,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,1999,27,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,2000,26,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,2001,27,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,2003,27.6,b
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,2004,26.5,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,2005,26.5,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,2006,27.8,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,2007,27.4,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,2008,27.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,2009,29.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,2010,27.9,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,2011,27.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,2012,28.0,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,2013,30.4,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,2014,28.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,2015,28.5,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,2016,29.6,b
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,2017,29.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,2018,31.3,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,2019,32.3,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LU,2020,31.2,b
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LV,2000,34,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LV,2005,36.2,b
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LV,2006,38.9,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LV,2007,35.4,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LV,2008,37.5,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LV,2009,37.5,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LV,2010,35.9,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LV,2011,35.1,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LV,2012,35.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LV,2013,35.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LV,2014,35.5,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LV,2015,35.4,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LV,2016,34.5,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LV,2017,34.5,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LV,2018,35.6,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LV,2019,35.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LV,2020,34.5,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LV,2021,35.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,ME,2013,38.5,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,ME,2014,36.5,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,ME,2015,36.5,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,ME,2016,36.5,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,ME,2017,36.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,ME,2018,34.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,ME,2019,34.1,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,ME,2020,32.9,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MK,2012,38.8,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MK,2013,37.0,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MK,2014,35.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MK,2015,33.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MK,2016,33.6,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MK,2017,32.4,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MK,2018,31.9,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MK,2019,30.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MK,2020,31.4,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MT,2000,30,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MT,2005,27.0,b
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MT,2006,27.1,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MT,2007,26.3,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MT,2008,28.1,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MT,2009,27.4,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MT,2010,28.6,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MT,2011,27.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MT,2012,27.1,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MT,2013,28.0,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MT,2014,27.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MT,2015,28.1,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MT,2016,28.6,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MT,2017,28.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MT,2018,28.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MT,2019,28.0,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,MT,2020,30.3,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,1995,29,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,1996,29,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,1997,26,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,1998,25,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,1999,26,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,2000,29,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,2001,27,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,2002,27,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,2005,26.9,b
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,2006,26.4,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,2007,27.6,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,2008,27.6,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,2009,27.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,2010,25.5,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,2011,25.8,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,2012,25.4,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,2013,25.1,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,2014,26.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,2015,26.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,2016,26.9,b
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,2017,27.1,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,2018,27.4,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,2019,26.8,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NL,2020,28.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NMS10,2001,29,e
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NMS10,2002,29,e
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NO,2003,26.6,b
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,NO,2004,25.2,
